
Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..nvs/line_generators.py:40 <lambda>  16     0.000035  0.000035  0.000002
../rail_generators.py:422 <listcomp>  8      0.000035  0.000035  0.000004
..ernal>:593 _validate_timestamp_pyc  1      0.000010  0.000034  0.000034
..otstrap_external>:154 _path_isfile  1      0.000008  0.000034  0.000034
..59 _should_collect_from_parameters  4      0.000023  0.000033  0.000008
..qdm/utils.py:266 _supports_unicode  1      0.000011  0.000032  0.000032
..tstrap_external>:560 _classify_pyc  1      0.000013  0.000032  0.000032
..p>:160 _ModuleLockManager.__exit__  1      0.000011  0.000031  0.000031
..ernal>:696 spec_from_file_location  1      0.000021  0.000030  0.000030
../rail_generators.py:423 <listcomp>  8      0.000028  0.000028  0.000003
..set.py:53 WeakSet._commit_removals  2      0.000021  0.000027  0.000013
../rail_generators.py:717 <listcomp>  8      0.000027  0.000027  0.000003
..ction_base.py:867 _copy_dispatcher  9      0.000026  0.000026  0.000003
.._types.py:307 _CheckTimestampValid  7      0.000026  0.000026  0.000004
../utils.py:187 disable_on_exception  2      0.000020  0.000026  0.000013
..p_external>:145 _path_is_mode_type  1      0.000008  0.000026  0.000026
.._bootstrap_external>:129 <genexpr>  4      0.000019  0.000025  0.000006
../tqdm/std.py:1153 tqdm._comparable  2      0.000016  0.000025  0.000013
..kends/cuda/__init__.py:38 is_built  6      0.000025  0.000025  0.000004
..cessing/synchronize.py:360 Barrier  1      0.000018  0.000025  0.000025
..mportlib._bootstrap>:811 find_spec  1      0.000018  0.000024  0.000024
..umeric.py:1034 _argsort_dispatcher  8      0.000024  0.000024  0.000003
..>:1077 SourceFileLoader.path_stats  1      0.000007  0.000024  0.000024
..hape_base.py:1187 _tile_dispatcher  8      0.000023  0.000023  0.000003
..l_env_action.py:29 is_action_valid  4      0.000023  0.000023  0.000006
.._bootstrap>:87 _ModuleLock.acquire  1      0.000017  0.000023  0.000023
..b._bootstrap>:231 _verbose_message  7      0.000023  0.000023  0.000003
..kages/torch/_ops.py:1003 <genexpr>  2      0.000020  0.000022  0.000011
..et.py:21 _IterationGuard.__enter__  2      0.000016  0.000022  0.000011
..bootstrap>:58 _ModuleLock.__init__  1      0.000017  0.000022  0.000022
..numpy/core/multiarray.py:345 where  8      0.000022  0.000022  0.000003
..tools.py:392 partialmethod.__get__  1      0.000016  0.000021  0.000021
../python3.9/typing.py:743 <genexpr>  6      0.000021  0.000021  0.000003
..tils.py:108 FormatReplace.__init__  5      0.000021  0.000021  0.000004
..bootstrap>:112 _ModuleLock.release  1      0.000015  0.000020  0.000020
